boj,rating1,cp,rating2
tngks1995,2435,tngks1995,970
gs22059,2431,annyeong1,1637
edward3378,2428,kookeudas,1857
parkky,2426,parkky,1733
swoon,2425,swoon,1488
chlwnsgud7,2423,Envil_Saintan,1427
prarie,2423,prarie,1725
noye,2420,noye,999
cdh981009,2418,cdh981009,1680
subinium,2413,subinium,793
skeep194,2412,skeep194,1333
cshcho99,2411,morgorithm,237
goooora,2411,newbieski,1500
hyperbolic,2404,Hyperbolic,2356
iknoom1107,2404,IKnoom,1614
sslktong,2395,jeonggyun,1668
dahoon46,2392,dahoon46,1538
hsh8086,2391,hsh8086,1533
frozenca,2388,frozenca,1433
hongjg3229,2386,ZINC,918
sunho,2384,mathneko,1677
dosawas,2383,dosawas,890
yukariko,2379,yukariko,1065
nflight11,2377,nflight11,795
kep1er07,2374,namolbbaemi,2049
lovinix,2372,Lovinix,93
joseph0528,2370,papergundam,221
jjaewon9,2369,jjaewon,1442
ymjoo12,2365,durumari,567
yunny_world,2365,yunny_world,1209
flyjb,2359,J_Baemi,1288
masooka,2356,masooka,1007
effect2110,2352,eff3ct_,793
drwolf1999,2350,drwolf1999,723
hbg1345,2350,debut,1164
lastknight00,2350,lastknight00,512
chansol,2347,nlog,1018
jisung6723,2342,jisung6723,923
jrguyyoo,2342,jrguyyoo,864
wlssud0701,2341,rokace,849
curnurx,2339,curnurx,1240
meque98,2339,meque98,614
iktk,2337,iktk1,1280
tksvlf123,2337,S4NGP1L,1289
wnguscjf01,2337,ChurryBlossom,1351
herdson,2334,nicotina04,1276
aru0504,2333,donghoony,138
iansong,2332,iansong,960
sendol,2331,sendol,1537
cjhool,2330,Leapense,232
r1n,2329,hareen,1764
yehyun,2328,AIinfty,1329
rustiebeats,2327,Naoi_Rei,978
yjyj1027,2325,weasel,1714
quickn,2323,quickn,1502
ggj06281,2321,c0510gy,1261
dyim0403,2317,dyim0403,800
39dll,2315,lld93,931
glanceyes,2314,Glanceyes,874
singun11,2314,singun11,779
ian0704,2313,ddirori,731
comseung18,2312,comseung18,751
seokgukim,2311,SeokguKim,1058
jsw1902,2309,Alcremie,454
ivymso13,2304,ivymso13,1009
lycoris1600,2304,lycoris1600,1182
creampuffshu,2302,Creampuffshu,933
dnialh,2302,dnialh,2931
kdhc7777,2302,kdhc7777,497
juchan1220,2299,nulldori,1155
mymasterpark2,2296,yelwhiltelow,303
sbrus_1213,2296,sbrus1213,583
0000000000,2295,StrangePenguin,963
riverlike14,2293,riverlike14,1248
cinador,2291,CinaDor,1455
jamesoh1201,2280,JaewonOh,1164
18sht1710,2265,OnlyCplusplus,1233
martin0327,2264,martin0327,1668
mj1000j,2262,mj1000j,1562
riantkb,2260,riantkb,2875
bbb1293,2259,bbb1293,1031
pjh9996,2259,ParkJH,1209
paull04,2258,cr7ro,1479
captain,2257,EunBin,1304
seonah,2257,Seonah,782
woonikim,2256,NamuTree,280
vancomycin,2254,vancomycin,1109
anfidthtn,2247,anfidthtn,962
love94610,2243,love94610,299
yty2589,2243,yty2589,950
caru1229,2241,devzhxpr,191
wizardrabbit,2241,wizardrabbit,1281
dogdriip,2238,dogdriip,1100
r4pidstart,2237,rapit02,1359
dslr,2236,Nate0917,818
nhk9503,2236,NHRWV,70
hckim96,2234,hckim96,1031
kangkunma,2234,kangkunma,177
jjkmk1013,2233,kimchijeon,1400
kind2783,2233,kind2783,28
tlsgusrb314,2233,TOMATO_MAT_TO,1242
wrath9764,2232,sinsa,411
andyjung2104,2231,andyandy,439
kkomabear1227,2231,Kkomabear1227,1292
mythofys,2229,mythofys,721
kangsm02,2225,kangsm02,880
lighter,2225,Pacomodo,658
mingyu331,2225,mingyu331,242
dbgusdn012,2224,MongHwa,910
aig0016,2222,mathhater,1110
sonamoo,2221,sonamoo,1150
cko301,2218,shyroute,1067
mani828,2218,orijeje,600
nahwasa,2218,nahwasa,713
aiden0912,2215,aiden1729,96
soo7652,2215,soo7652,762
gksrudtn99,2213,jbhus,1448
w8385,2213,w8385,951
hyperion1019,2211,hyperion1019,1120
leejuhu,2209,leejuhu,860
chlwnsgurb,2208,chlwnsgura,542
dbrua1222,2207,RyuZU_,913
nukec,2206,nukeC,876
per_ardua_ad_astra,2204,TrySomethingNew,558
youngyangze,2204,youngyangze,19
gnzpstly2000,2203,YunDaehyuck,744
kinssang,2202,kinssang,1654
mnx,2202,mnx,1503
goodpjw2008,2201,goodpjw2008,533
songuno1,2201,songuno1,1057
cocoa_chan,2200,Cocoa_chan,2096
eric9709,2200,JEMINI,939
kangwlgns,2200,dosirak_bomb,63
mbae059,2200,mbae059,1204
sr3gm,2197,sr3gm2,324
rootcucu,2195,cucudas,590
jjmjm2002,2191,Tringles,29
ygonepiece,2185,ygonepiece,1189
penguin1234,2183,penguin1234,1036
suhodnkla,2178,suhodnkla,765
dlaud5379,2174,EatChangmyeong,1234
rbtmd1010,2174,seanhwangg,301
yous,2173,yous,1085
ljwljw8541,2172,packkill,944
jatana,2155,Jatana,2447
Rose,2151,maisonkitsune,43
kimcoding,2149,Kimcoding,966
wlgh7407,2148,wlgh7407,980
kss418,2146,kss418,387
saycorn,2142,Saycorn,1104
dlstj0923,2137,inclue,18
linak,2133,ka_rin,1344
itinbangk,2131,BangK,1330
surung9898,2126,surung9898,1493
dreamw,2125,lazywaterpig,1069
darkdulgi,2123,darkdulgi,1110
rb3krn,2123,rb3krn,848
valera_grinenko,2118,ValeraGrinenko,2008
fermion5,2109,fermion5,634
tjdans6342,2109,G_liver,122
gravekper,2108,Gravekper,1258
lju0912,2106,LeeJU0912,516
limepencil,2104,LimePencil,881
woqja125,2100,woqja125,2235
sweatpotato,2099,CuteWisp,717
tjfvmfdydid_java,2098,bleron,1360
kckyoung2,2093,kENN3N,904
young1023,2087,hydroxyphenyl,21
lcr7324,2084,L1638,1319
ykdy3951,2083,Chanism,47
checkchck,2081,checkcheck,437
dotoleeoak,2077,dotoleeoak,1206
gcmango,2076,gcmango,563
specidiee,2070,JustBestRyuna,897
mtso15,2061,mtso15,285
minpago,2050,minpago,1445
wanderkind,2048,wanderkind,559
sewon1407,2043,HandSntz,380
dlbae9613,2042,dlbae9613,777
sapple,2041,Sapple,1344
scalalang,2041,scalalang,1030
kpeel5839,2040,suheelove,2
setsuna,2039,Cooked_Marsh,161
jjangguzi,2037,wafla,452
jgs03177,2036,jgs03177,1265
ksi4495,2031,ksi4495,1189
franj,2022,FranJ,284
cliid,2021,cliid,2006
duho1004,2020,duho1004,949
